"player_id","version","name","full_name","best_position","image","height_cm","weight_kg","birthdate","positions","preferred_foot","weak_foot","skill_moves","international_reputation","specialities","nation_id","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","fk_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","composure","defensive_awareness","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","play_styles"
"231866","2025-07-17","Rodri","Rodrigo Hernández Cascante","cdm","https://cdn.sofifa.net/players/231/866/25_120.png","190","82","1996-06-22","cdm,cm","right","4 ","3 ","5 ","Distance shooter","45","76","74","81","93","71","84","86","64","91","90","65","66","66","93","67","92","83","91","83","89","85","84","76","84","62","94","92","87","82","10","10","7","14","8","Tiki Taka +,Power Shot,Long Ball Pass,Bruiser,Press Proven,Aerial,Team Player,Leadership"
"209331","2025-07-17","M. Salah","Mohamed Salah Hamed Ghalyمحمد صلاح","rm","https://cdn.sofifa.net/players/209/331/25_120.png","175","72","1992-06-15","rm,rw","left","3 ","4 ","5 ","Dribbler,Crosser,Acrobat,Clinical finisher,Complete forward","111","86","95","59","88","83","90","88","69","81","90","89","89","89","94","91","83","79","88","75","84","63","55","93","89","87","93","38","43","41","14","14","9","11","14","Finesse Shot +,Chip Shot,Pinged Pass,Whipped Cross,Technical,First Touch,Trivela"
"252371","2025-07-17","J. Bellingham","Jude Victor William Bellingham","cam","https://cdn.sofifa.net/players/252/371/25_120.png","186","75","2003-06-29","cam,cm","right","4 ","4 ","5 ","Dribbler,Playmaker,Clinical finisher,Complete midfielder,Complete forward","14","66","89","75","90","77","89","73","68","89","89","81","80","82","91","79","85","85","93","80","86","85","82","91","91","74","87","77","79","77","14","11","10","5","8","Relentless +,Intercept,Slide Tackle,Technical,Flair"
"238794","2025-07-17","Vini Jr.","Vinicius José Paixão de Oliveira Junior","cam","https://cdn.sofifa.net/players/238/794/25_120.png","176","73","2000-07-12","lw,st","right","4 ","5 ","5 ","Speedster,Dribbler,Acrobat,Clinical finisher,Complete forward","54","81","89","50","83","73","93","79","62","77","90","95","95","94","86","84","81","74","84","65","83","58","26","87","85","74","83","32","25","18","5","7","7","7","10","Quick Step +,Finesse Shot,Chip Shot,Rapid,Flair,First Touch,Trivela"
"231747","2025-07-17","K. Mbappé","Kylian Mbappé Lottin","st","https://cdn.sofifa.net/players/231/747/25_120.png","182","75","1998-12-20","st,lw","right","4 ","5 ","5 ","Speedster,Dribbler,Acrobat,Clinical finisher,Complete forward","18","78","92","72","85","84","93","80","69","74","92","97","97","93","91","82","90","88","87","77","83","61","38","91","83","82","88","26","34","32","13","5","7","11","6","Quick Step +,Finesse Shot,Rapid,Flair,Trivela,Acrobatic,Solid Player"
"239085","2025-07-17","E. Haaland","Erling Braut Håland","st","https://cdn.sofifa.net/players/239/085/25_120.png","195","94","2000-07-21","st","left","3 ","3 ","5 ","Aerial threat,Distance shooter,Strength,Clinical finisher,Complete forward","36","58","96","83","77","90","79","77","62","66","83","80","94","77","93","69","94","92","76","93","83","88","43","95","74","90","88","38","47","29","7","14","13","11","7","Chip Shot +,Power Shot,Power Header,Bruiser,Press Proven,Acrobatic,Injury Prone"
"202126","2025-07-17","H. Kane","Harry Edward Kane","st","https://cdn.sofifa.net/players/202/126/25_120.png","188","86","1993-07-28","st","right","4 ","3 ","5 ","Aerial threat,Distance shooter,Strength,Clinical finisher,Complete forward","14","80","95","91","86","89","80","82","69","79","87","64","65","66","94","73","94","87","75","86","89","80","42","94","86","95","92","46","46","38","8","10","11","14","11","Finesse Shot +,Power Header,Incisive Pass,Long Ball Pass,First Touch,Trivela"
"203376","2025-07-17","V. van Dijk","Virgil van Dijk","cb","https://cdn.sofifa.net/players/203/376/25_120.png","193","92","1991-07-08","cb","right","3 ","2 ","5 ","Tackling,Tactician,Strength,Complete defender","34","53","52","88","80","45","70","60","70","86","77","66","87","54","90","50","81","89","75","93","64","85","91","47","70","62","90","91","91","87","13","10","13","11","11","Intercept +,Power Header,Pinged Pass,Jockey,Anticipate,Bruiser,Aerial,Solid Player,Leadership"
"256630","2025-07-17","F. Wirtz","Florian Richard Wirtz","cam","https://cdn.sofifa.net/players/256/630/25_120.png","177","71","2003-05-03","cam,st","right","4 ","4 ","5 ","Dribbler,Playmaker,Crosser,Acrobat,Complete midfielder","21","87","84","43","91","81","90","83","74","88","92","82","79","87","88","87","78","65","87","59","84","63","47","85","91","66","86","59","49","44","14","14","13","6","10","Incisive Pass +,Finesse Shot,Chip Shot,Technical,Flair,First Touch,Trivela"
"192119","2025-07-17","T. Courtois","Thibaut Nicolas Marc Courtois","gk","https://cdn.sofifa.net/players/192/119/25_120.png","200","96","1992-05-11","gk","left","3 ","1 ","5 ","","7","14","14","13","33","12","13","19","20","35","23","42","52","63","88","45","57","68","38","70","17","23","15","13","44","27","66","20","18","16","85","89","76","88","90","1v1 Close Down +,Far Throw,Cross Claimer"
